"","CELL_PERC_DW.13.comps"
"Wave_1685",-4.36111087132549
"Wave_1686",0.621544753122177
"Wave_1687",4.93106602732651
"Wave_1688",7.06035248885309
"Wave_1689",10.596658105152
"Wave_1690",14.469300295588
"Wave_1691",18.1364067099925
"Wave_1692",21.7319846514177
"Wave_1693",23.9408006942897
"Wave_1694",26.1880781313643
"Wave_1695",29.9375028283604
"Wave_1696",29.8885571997153
"Wave_1697",27.1911785949814
"Wave_1698",28.5418009321908
"Wave_1699",29.532143057957
"Wave_1700",28.5063950331276
"Wave_1701",28.5315270660468
"Wave_1702",26.4795198426323
"Wave_1703",22.9996231210712
"Wave_1704",22.817356276125
"Wave_1705",23.7200628685347
"Wave_1706",21.6178343809421
"Wave_1707",18.5330835522177
"Wave_1708",15.6405739986983
"Wave_1709",12.2557864962618
"Wave_1710",9.28776884322422
"Wave_1711",6.20063729825121
"Wave_1712",3.93971155575185
"Wave_1713",2.05166271269111
"Wave_1714",-1.38373960902383
"Wave_1715",-3.86323910525471
"Wave_1716",-5.80904733660629
"Wave_1717",-8.9660811235585
"Wave_1718",-11.3150102662564
"Wave_1719",-11.3760221577995
"Wave_1720",-12.8225916628506
"Wave_1721",-16.695182663662
"Wave_1722",-20.1010946990611
"Wave_1723",-23.2874770443674
"Wave_1724",-26.9203379044432
"Wave_1725",-28.9115069105789
"Wave_1726",-29.837002017259
"Wave_1727",-34.0866097109382
"Wave_1728",-38.9650998634781
"Wave_1729",-39.6412102174406
"Wave_1730",-39.5036648518783
"Wave_1731",-41.7436568276919
"Wave_1732",-43.8087466413196
"Wave_1733",-43.1554255834812
"Wave_1734",-41.8923700106612
"Wave_1735",-39.8133561142062
"Wave_1736",-39.01951940462
"Wave_1737",-38.8908270150898
"Wave_1738",-36.7781597463277
"Wave_1739",-29.5350877588155
"Wave_1740",-24.0173591052327
"Wave_1741",-21.6810433180852
"Wave_1742",-18.3510336322921
"Wave_1743",-14.8790944176458
"Wave_1744",-10.9407435112843
"Wave_1745",-5.70881035050658
"Wave_1746",-2.07210018318297
"Wave_1747",1.85215284213966
"Wave_1748",8.16957760319123
"Wave_1749",10.6372850484563
"Wave_1750",12.2352204987082
"Wave_1751",16.470786116959
"Wave_1752",20.570012525579
"Wave_1753",21.3431865926898
"Wave_1754",21.5908957987066
"Wave_1755",25.2572117155261
"Wave_1756",26.9310625680705
"Wave_1757",23.757423886648
"Wave_1758",21.7205940418277
"Wave_1759",20.5819579348973
"Wave_1760",17.0483187177718
"Wave_1761",16.8832744946019
"Wave_1762",18.0487929170188
"Wave_1763",14.5680933985
"Wave_1764",11.9627783962764
"Wave_1765",11.7914941862946
